,AAPL,ABBV,AMD,AMZN,AVGO,BAC,BRK-B,BTC-USD,COST,CVX,GLD,GOOGL,HD,JNJ,JPM,KO,LLY,MA,META,MRK,MSFT,NVDA,ORCL,PEP,PG,TLT,UNH,V,VNQ,WMT,XLE,XOM,ADP,BA,BMY,CAT,CMCSA,CSCO,CVS,DHR,DIS,EEM,EFA,ETH-USD,EWJ,EWZ,FDX,FXI,GE,GILD,GLDM,HON,IAU,IBM,INTC,IWM,LOW,MCD,MMM,NFLX,NKE,PFE,QCOM,QQQ,SBUX,SMH,SPY,TGT,TXN,UPS,UUP,XBI,XLB,XLF,XLI,XLK,XLP,XLY
2010-01-04,6.4183831214904785,,,6.695000171661377,,,66.22000122070312,,,,,15.566815376281738,19.571794509887695,,28.552146911621097,17.435401916503906,,23.617979049682617,,,23.13006019592285,0.4238065779209137,,,38.417022705078125,,24.597442626953125,19.645668029785156,,,,37.88180923461914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,6.429480075836182,,,6.734499931335449,,,66.54000091552734,,,,,15.498265266418455,19.71514892578125,,29.105195999145508,17.224483489990234,,23.548091888427734,,,23.137527465820312,0.4299953579902649,,,38.42959976196289,,24.558435440063477,19.420534133911133,,,,38.02972030639648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,6.327209949493408,,,6.612500190734863,,,66.19999694824219,,,,,15.107572555541992,19.64689064025879,,29.265111923217773,17.218374252319336,,23.514047622680664,,,22.99553871154785,0.4327459037303924,,,38.24732208251953,,24.8002872467041,19.159748077392575,,,,38.35840606689453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,6.3155131340026855,,,6.5,,,66.45999908447266,,,,,14.755876541137695,19.878992080688477,,29.844829559326172,17.175582885742188,,23.360395431518555,,,22.75638771057129,0.4242651164531708,,,38.03989791870117,,25.75202751159668,19.338064193725582,,,,38.23788070678711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,6.3575005531311035,,,6.676000118255615,,,66.44000244140625,,,,,14.95258903503418,19.783422470092773,,29.771520614624023,16.857683181762695,,23.36867332458496,,,22.913331985473633,0.4251821339130401,,,37.98960494995117,,25.510189056396484,19.39155387878418,,,,38.084495544433594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,6.301419734954834,,,6.515500068664551,,,66.5,,,,,14.929986953735352,19.2236385345459,,29.671560287475582,17.20003318786621,,22.98406982421875,,,22.62186813354492,0.4192225635051727,,,37.838748931884766,,25.681814193725582,19.33583641052246,,,,38.51179885864258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-12,6.229739665985107,,,6.367499828338623,,,66.0,,,,,14.66596508026123,19.10076141357422,,28.97859001159668,17.386489868164062,,22.971187591552734,,,22.472394943237305,0.4050115346908569,,,38.272464752197266,,25.00309944152832,19.24445152282715,,,,38.32004928588867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13,6.317612171173096,,,6.45550012588501,,,66.0,,,,,14.581767082214355,19.20315933227539,,29.484996795654297,17.432342529296875,,23.568334579467773,,,22.681652069091797,0.4105127155780792,,,38.6684455871582,,25.38536262512207,19.42276382446289,,,,38.16665267944336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-14,6.281024932861328,,,6.367499828338623,,,65.95999908447266,,,,,14.65031623840332,19.3192138671875,,29.778186798095703,17.462907791137695,,23.96673583984375,,,23.137527465820312,0.4040947258472442,,,38.70616912841797,,25.993871688842773,19.489633560180664,,,,38.17214584350586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,6.176054954528809,,,6.35699987411499,,,64.94000244140625,,,,,14.405669212341309,19.5035343170166,,29.105195999145508,17.206151962280273,,24.16640281677246,,,23.062788009643555,0.3921759724617004,,,38.22847366333008,,26.329328536987305,19.199872970581055,,,,37.85987854003906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-19,6.449273586273193,,,6.380499839782715,,,66.63999938964844,,,,,14.594929695129396,19.71514892578125,,28.83866310119629,17.24588394165039,,24.359621047973633,,,23.242162704467773,0.3995107114315033,,,38.794151306152344,,27.40591049194336,19.58102035522461,,,,37.9475212097168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-20,6.350003242492676,,,6.289000034332275,,,69.5199966430664,,,,,14.415851593017578,19.564966201782227,,28.918621063232425,16.964672088623047,,24.23449325561523,,,22.861013412475582,0.3979061245918274,,,38.26871871948242,,26.953426361083984,19.48517608642578,,,,37.26823806762695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
